Submission,Reviewer,Rank
100,R032,1
100,R095,2
100,R042,4
101,R179,2
101,R207,3
101,R018,5
102,R026,3
102,R202,5
102,R222,16
103,R020,1
103,R176,2
103,R019,3
105,R168,1
105,R207,2
105,R031,3
106,R079,1
106,R010,2
106,R178,5
107,R126,1
107,R211,2
107,R068,3
108,R132,1
108,R019,3
108,R209,4
109,R075,2
109,R195,3
109,R058,6
10,R035,1
10,R169,2
10,R078,4
110,R194,1
110,R109,2
110,R006,3
111,R066,1
111,R126,4
111,R023,5
112,R016,3
112,R196,4
112,R145,5
113,R135,1
113,R214,2
113,R101,3
114,R034,1
114,R011,2
114,R055,3
115,R201,1
115,R128,2
115,R225,3
117,R097,1
117,R166,2
117,R101,3
118,R001,2
118,R227,3
118,R172,5
119,R020,1
119,R077,3
119,R047,4
11,R121,1
11,R201,3
11,R205,4
120,R097,1
120,R028,2
120,R124,3
121,R057,1
121,R138,3
121,R101,4
122,R089,1
122,R095,3
122,R070,4
124,R111,1
124,R157,3
124,R080,7
126,R116,1
126,R145,3
126,R182,4
127,R006,1
127,R213,2
127,R025,5
128,R120,1
128,R024,5
128,R159,7
129,R096,1
129,R018,2
129,R148,4
12,R129,1
12,R139,3
12,R123,4
130,R191,1
130,R045,2
130,R019,4
131,R130,1
131,R079,2
131,R177,3
132,R026,1
132,R080,2
132,R102,5
133,R052,1
133,R062,2
133,R057,5
134,R056,1
134,R176,2
134,R190,7
135,R195,1
135,R130,3
135,R053,4
136,R121,2
136,R102,3
136,R086,5
137,R134,1
137,R038,2
137,R069,3
138,R075,1
138,R058,4
138,R195,5
139,R128,1
139,R003,2
139,R124,3
13,R012,2
13,R018,3
13,R156,4
140,R021,1
140,R189,7
140,R083,8
141,R140,1
141,R059,2
141,R076,3
142,R092,1
142,R042,2
142,R044,4
143,R112,1
143,R177,2
143,R136,3
144,R017,1
144,R058,2
144,R043,6
145,R222,1
145,R088,2
145,R098,3
146,R196,1
146,R099,3
146,R039,4
147,R222,1
147,R191,2
147,R037,3
148,R207,3
148,R136,4
148,R038,6
149,R031,3
149,R174,4
149,R108,5
14,R142,1
14,R109,2
14,R110,3
150,R029,1
150,R219,2
150,R164,5
151,R126,1
151,R213,3
151,R094,5
152,R079,1
152,R219,2
152,R098,3
153,R010,1
153,R189,2
153,R060,5
154,R056,1
154,R144,2
154,R036,4
155,R063,1
155,R104,2
155,R165,5
156,R165,1
156,R092,2
156,R047,5
157,R009,1
157,R137,3
157,R062,5
158,R028,1
158,R169,2
158,R166,3
159,R020,1
159,R156,2
159,R093,5
15,R073,1
15,R157,2
15,R014,4
160,R214,2
160,R215,3
160,R223,18
162,R225,3
162,R166,5
162,R027,7
163,R034,1
163,R100,2
163,R145,3
164,R111,1
164,R115,3
164,R038,4
166,R021,1
166,R161,3
166,R153,4
167,R021,1
167,R142,2
167,R117,3
169,R072,1
169,R070,2
169,R083,3
16,R017,1
16,R154,4
16,R160,5
171,R107,1
171,R138,3
171,R032,6
173,R064,2
173,R106,3
173,R069,4
174,R214,1
174,R129,2
174,R127,4
175,R140,1
175,R054,2
175,R217,3
176,R028,1
176,R169,2
176,R018,4
177,R074,2
177,R199,4
177,R126,5
178,R138,2
178,R069,4
178,R029,5
179,R120,1
179,R160,2
179,R074,3
17,R111,1
17,R112,2
17,R116,8
180,R021,1
180,R126,2
180,R011,3
181,R077,1
181,R097,2
181,R199,7
182,R177,1
182,R093,2
182,R174,5
183,R157,1
183,R092,2
183,R043,3
184,R075,1
